STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/28/2019,,57,,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/29/2019,,61,,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/30/2019,,60,,47
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/31/2019,,59,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/1/2019,,60,71,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/2/2019,,60,69,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/3/2019,,58,67,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/4/2019,,59,72,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/5/2019,,58,,46
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/7/2019,,54,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/8/2019,,66,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/9/2019,,55,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/10/2019,,55,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/11/2019,,57,72,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/12/2019,,58,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/13/2019,,59,,41
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/14/2019,,55,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/15/2019,,60,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/16/2019,,57,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/17/2019,,57,,42
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/18/2019,,60,,41
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/21/2019,,62,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/22/2019,,59,72,43
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/23/2019,,60,72,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/24/2019,,60,74,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/25/2019,,60,67,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/26/2019,,63,,52
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/27/2019,,56,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/28/2019,,56,69,43
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/29/2019,,52,69,38
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,6/30/2019,,59,,44
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/2/2019,,67,76,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/3/2019,,62,77,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/4/2019,,63,75,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/5/2019,,56,,41
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/6/2019,,56,73,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/7/2019,,53,,38
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,7/8/2019,,69,,39
