Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
99,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 06:00,(-),-18.046233°,25.757565°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
100,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 07:00,(-),-18.047883°,25.757100°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
101,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 08:00,(-),-18.052632°,25.757265°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
102,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 09:00,(-),-18.058150°,25.753450°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
103,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 10:00,(-),-18.062967°,25.750367°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
104,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 11:00,(-),-18.063400°,25.750667°,(-),<10 meters,0 km/h,7 Volt,30°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
105,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 12:00,(-),-18.063367°,25.750683°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
106,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 13:00,(-),-18.063917°,25.751850°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
107,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 14:00,(-),-18.063500°,25.750732°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
108,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 15:00,(-),-18.063067°,25.749248°,(-),<10 meters,0 km/h,7 Volt,40°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
109,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 16:00,(-),-18.062782°,25.749083°,(-),<10 meters,0 km/h,7 Volt,40°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
110,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 17:00,(-),-18.063015°,25.748933°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
111,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 18:00,(-),-18.063600°,25.748998°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
112,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 19:00,(-),-18.064732°,25.748465°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
