"","Time","Latitude","Longitude","doy","BulNum"
"1645","2021-01-07 22:00:32",-18.4797666666667,25.6269833333333,7,"9"
"1606","2021-01-07 22:00:32",-18.1802,25.4158,7,"10"
"1647","2021-01-07 22:00:32",-18.0567333333333,25.7472666666667,7,"12"
"1682","2021-01-07 23:00:33",-17.8832,25.64605,7,"7"
"1641","2021-01-08 00:00:32",-17.8833166666667,25.4809333333333,8,"6"
"168","2021-01-08 01:00:32",-18.5058333333333,26.1229833333333,8,"2"
"1683","2021-01-08 01:00:32",-17.90045,25.8190333333333,8,"8"
"1685","2021-01-08 02:00:32",-18.47565,25.6217666666667,8,"9"
"1646","2021-01-08 02:00:32",-18.1801833333333,25.4158166666667,8,"10"
"1687","2021-01-08 02:00:32",-18.0582,25.7424166666667,8,"12"
"1722","2021-01-08 03:00:32",-17.8832166666667,25.6460666666667,8,"7"
"1681","2021-01-08 04:00:32",-17.9253833333333,25.47015,8,"6"
"1723","2021-01-08 05:00:32",-17.9079666666667,25.81385,8,"8"
"172","2021-01-08 05:01:11",-18.50945,26.1494166666667,8,"2"
"1725","2021-01-08 06:00:32",-18.47505,25.6219833333333,8,"9"
"1686","2021-01-08 06:00:32",-18.1801833333333,25.4158166666667,8,"10"
"1727","2021-01-08 06:00:32",-18.04965,25.7239166666667,8,"12"
"1762","2021-01-08 07:00:32",-17.8832166666667,25.6460666666667,8,"7"
"1721","2021-01-08 08:00:32",-17.9443,25.46565,8,"6"
"176","2021-01-08 09:00:32",-18.5165333333333,26.1658666666667,8,"2"
"1763","2021-01-08 09:00:32",-17.9097166666667,25.8075666666667,8,"8"
"1765","2021-01-08 10:00:32",-18.4692833333333,25.6275166666667,8,"9"
"1726","2021-01-08 10:00:32",-18.1802,25.4158,8,"10"
"1767","2021-01-08 10:00:32",-18.03375,25.7041166666667,8,"12"
"1802","2021-01-08 11:00:32",-17.8832166666667,25.6461,8,"7"
"1761","2021-01-08 12:00:32",-17.9585666666667,25.4543,8,"6"
"180","2021-01-08 13:00:32",-18.5168166666667,26.1658,8,"2"
"1803","2021-01-08 13:00:32",-17.9157333333333,25.8042,8,"8"
"1805","2021-01-08 14:00:32",-18.4679833333333,25.6250166666667,8,"9"
"1766","2021-01-08 14:00:32",-18.1802166666667,25.4158166666667,8,"10"
"1807","2021-01-08 14:00:32",-18.0436333333333,25.6932333333333,8,"12"
"1842","2021-01-08 15:00:32",-17.8832,25.64605,8,"7"
"1801","2021-01-08 16:00:32",-17.9786333333333,25.44885,8,"6"
"184","2021-01-08 17:00:32",-18.5217166666667,26.17005,8,"2"
"1843","2021-01-08 17:00:32",-17.9165666666667,25.8073333333333,8,"8"
"1845","2021-01-08 18:00:32",-18.4677166666667,25.6242,8,"9"
"1847","2021-01-08 18:00:32",-18.0474166666667,25.68555,8,"12"
"1882","2021-01-08 19:00:32",-17.8832333333333,25.64605,8,"7"
"329","2021-01-08 19:00:55",-17.88315,25.8343,8,"14"
"1806","2021-01-08 20:00:32",-18.1802,25.4157833333333,8,"10"
"1841","2021-01-08 20:01:27",-17.9971166666667,25.4558833333333,8,"6"
"188","2021-01-08 21:00:32",-18.5029166666667,26.1975,8,"2"
"1883","2021-01-08 21:00:32",-17.91565,25.81175,8,"8"
"1885","2021-01-08 22:00:32",-18.4687166666667,25.6191333333333,8,"9"
"1887","2021-01-08 22:00:32",-18.07245,25.69715,8,"12"
"1922","2021-01-08 23:00:32",-17.8832,25.6459833333333,8,"7"
"1881","2021-01-09 00:00:32",-17.98225,25.4565333333333,9,"6"
